Username,Summary,Userhistory,label
KatelynARod,sad,Looks like I have to teach myself how to do strip lashes and I cant do it to save the life of MEI will sell my soul for mine to do thatHOW?? Im out here with sad eyelashes Im three weeks out and I want to die,1
sarynaarylle,sad,"I dont know if it was the time i tried or the day but im sad if they had ro close !love you bitchI love this! No, i havent heard it!Want indian food but my favorite place is closed. Whats the point of going anywhere else!!!! Because it wont feel/fill the same lmaoooooIm fuckin pissed",1
SajiD4TS,sad,What gives u anxiety? And is it the theater of ur mind or real anxietyPpl talking about living the dream s/b on suicide watchEdible + Gorillaz pleaseTheres a country that only bows as a greeting and its older than the USWhat kind of bread,0
roselynetje,sad,"Well said, you take care too.I have never seen anything like it, just beautifu!",0
joiedexo,sad,"he's back I'm not sad anymore!""I am so hard to see you""""We want to tremble and sing""""It seems to be rising""""Zip cock"" w h yThe whole paragraph is making meconFuSedI'm on ep 17 and it feels like wangji hasn't been around for ages I'm sAd",0
DonaldW40174618,sad,Global warming in most countries is called seasons.Deaths happen everyday and every life is precious. But the Wuh,0
purplemoonchii,sad,KEKEKE okay but off topic that pic reminded me that I need to finish editing my tom amd jerry\7friends fancamYep thats true..but like cactus are some of the hardest to kill lolYES you're ome of the few sensible desimys I saw here I'm gonna follow yiu lets be moots..my tl needs some positivity,0
CynthiaLPina,sad,I have not laughed so hard in such a long time.,0
maureenbh,sad,Oh Please. How sad that you are so out of touch with whats really going on. Join a Covid hotline. Tanonymity is the spiritual foundation...anonymity is the spiritual foundation.You are one angry human. Poor thing.Are you nominating someone else?,0
Yemalangeni,sad,"LEADERSHIP!!!Don't tell me to stopLet me go on until i can notLet me open up until it hurts,Allow me to travel and unravelExTo my anxiety, over-thinking, insecurities and everything inbetween:Don't tell me to stopLet me go on until i ca23?",0
Chesca_Jung,sad,I should really love myself moreI hate this feeling na pag may nagalit sakin naiiyak akoSame thought hahahahaKainis tuloyKabadtrip talaga mag ml sa umaga,0
ana_captures,sad,"Im saddened by such stories, actually. We are eeriencing something unprecedented and I would haveHello Alan,I hope you, the team and your families are well along with your members. I am pleased toThank goodness we have hope.",0
Souljah40082170,sad,Sorry you feel thaAlso WE AmericansHenry ...WE do notHansel and GretelFuck you!,0
brgschamiey,sad,your place or mineandyyyy yourrr so pretty!!,0
hireath__,sad,"Anyways I read some of the scans and I love Shinobu, Nezuko and Kanao so much. Periodt.It's like now I'm too sad for personal reasons to read kny scans and tbh I'm not sure when I'll be ok to enjoy allI guess this made my day and probably my whole year",0
____skay,sad,"Yesss use this for promotion I need me a couple too btwHollering!!I know for a fact a nigga wouldnt be able to shower with me, I like my water to a boil",0
ifoundmai,sad,he needs help lmao,1
joshhascometo,sad,Coronavirus got me putting my tinder passport in my hometownI might be missing the homies a little bitThey can do this at any time. They just dont care about poor people.Lmao if this modern times there's be pages of lore on these two idiots,0
minjooswiz,sad,ur more precious than meIT'LL BE ON BANGTAN TV OMGOMG ARMIES RISEu are !!HHHH IM SORRY,0
EarlJacobs,sad,Says who!,0
OliviaLaMignon,sad,Wow,0
cinderenne,sad,DEMIAPA,0
oceans_lover,sad,Im just sad today .,1
CharmieSuji,sad,My Twitter is glitchingIm really jobless I went to watch Naruto meeting his mum and now Im sadThis legit looks like it came straight out of animeHOTTTTTT,1
Fred_SAPO,sad,Fk the media...,0
urfavblkyogini,sad,Solid facts lmfao!Inversion work is good for revitalizing the blood circulation,0
LenzShirley,sad,How The Smoky Mountains Got Their Name....You should not be trusted in an out-house with a muzzle on!Nancy's next bill what they are asking for:,0
cmliwagdixon,sad,I have a lot of feelings about people viewing the eloitation of Filipino women as entertainment but I gave up swearing for Lent soBeing left behind was literally MY WORST NIGHTMARE as a kid. I finally convinced myself that if the rapture happeneMy husband left his pants on the bed. I woke up and JUST SAW PANTS NEXT TO ME and for a horrifying second tThere's no right way to handle this pandemic. Quarantine and uncertainty are going to mess with our emotions and anmy favorite,1
Chainlink_4IR,sad,"Are you talking about $LINK?These are people buying $LINK above $2 dont get rekt be patient and buy sub $1I always counter trade you lolIt may eventually happen. It was already $0.01 before few weeks $LINKI see the fear in this tweet, have you ever thought $LINK or any stocks are no exception from broader mar",0
for2buns,sad,Wooooooooow,0
HTFIII,sad,Are these wipes specifically designedfor cleaning up a knocked over bowl of ?,0
LuisaThapa,sad,"Living in fear was yesterday, I am living in love nowMay all broken hearts heal.",0
elsadafinessa,sad,!! Stupid wannabe,0
mccainin4,sad,"is a credibleWorld Health OrganizationHave you provided materials to Pimient? If so, do you think Pimient isHerd Immunity ...... is also called survival of the fittest... and, I suppose, the lives of your loved ones as well. only car",0
Woman4W,sad,"Thank you!Thanks, I appreciate it. Who knows when I'll get to try though? Between dreadful female politics i",0
angela_abs,sad,"If this is your reality, please believe that all is not lost - you can rebuild your life from scratch. Try not to pRock bottom - the sad reality for a lot of people during this pandemic. Millions have been thrown out of jobs witShe also launched a national literacy tour in partnership with the White House, is now a published author herself,Marley Dias wanted little brown girls to be able to see themselves in the books they read, so she foA lot of people have been rendered jobless due to the COVID-19 pandemic. It may truly seem like the end of the Worl",0
vijaymahadev02,sad,"Vtv news is this worshipful, significant anWho is dilip sanghani...!!??????He said that farmers come forward in this epidemic of",0
civicdec,sad,I believe the original argument was set forth in the Claremont ReviewFor the masses it was fear mongering that played well not any coherent set of beliefs.The people who took it seriously where those that saw the ACA as a dangerously goBernie's greatest contribution is the recognition that there is such a thing as political EVIThese guys around Trump had a better practical understanding of the media and the ven diagram,0
Ty1016911,sad,"Cant wait to hear the inevitable chorus of THEY NEVER LISTEN TO MEEEEEEE when you never fuckin vote cause your dIll fuckin finger point until all 10 digits fall off, bitchDamn, those fuckin sad losers should drive off cliffs thenIts okay Jeremy, he just wants Corey to see that dumbass bow tie of his.",1
SugarSilk2,sad,"IdkYASSS YOU GOT 100Yay thank you! &gt;w&lt;You shouldve taken out the horns cause I dont think those are coming back and the shoes areOh and also give credit to cause he was the one who drew the drawing, I own the oc",0
hailmothman,sad,"""The market decides"" the market doesn't decide shitIf you gave a shit your workers wouldn't have to go on strike. Go fuck yourselfDear leader trump is not at fault for anything, apparently",1
earthgirlgeena,sad,"This is unbearably sad, RIP Dr Chowdhury. You could have prevented this.",1
brannon_besse,sad,Yes it isMorning fogThe last time i won was 2 years ago help a guy out,0
Lebona_sanza,sad,Kea kopaTelkom mobile would be appreciated bro please.You could do yourself that favor and shut your filthy pie hole stupid idiotic fool,0
sbrinabarhri,sad,shshshshhssu need horny be gone pills,0
1st_WhiteTiger,sad,"Keep promoting your fear propaganda!She has a nice jumper waiting for her to wear, as well as fashionable neck tie.",0
IAMKINGJUN,sad,"They're definitely still cryingAwwww that's sad! This was one of the best/funniest Twitter moments between him &amp; the grandmom. RIP KINGGood morning world, blessings everyone be safe out there today!",1
_malyxo,sad,Thank youBest tik tok to ever surface the internetLove you too brotherGood morning to men with waves and pet snakes that have really nice moms named Angela and them only,0
yayifigueroaa,sad,Loveeeee eggs and fries,0
CKatieanne,sad,"Jaysis who pissed in your cornflakesMy week on Twitter : 17 Mentions, 24 Retweets, 24.9K Retweet Reach, 17 Replies. See yours withPasta in his top 5 come off it",0
daisydumpling,sad,I understand that you had to take a date in the past to stop companies making fraud,0
raeofstarlight,sad,"So instead of risking all that, its better to suck it up now and hope to god you dont get sick or spread it and gAnd again like I said- its a million times hard for a person of color to get a job compared to a white person whos&amp; YES. Weve talked about filing for unemployment. BUT heres the thing, my job might not recover from this. They mThis just shows how BIG the gap is between wealth and race. POCs are still out here putting our lives at risk bc weLots of white coworkers have made comments such as, Im financially secure so Im going stay home and be safe or",1
not_aarushi,sad,"is biswa willing to marry me.my break is stillllll not here.just a few month(s) back we were all dying for a break, look at us now.emails is what i check to keep my anxiety at bay.",1
jazurs,sad,5G DJSKKJFKSKSJ AMAZING. THANK U FOR A LAUGH ON THIS FINE MORNINGLMAO I ALRDY HAVE IT.,0
loski_hs,sad,happy birthdayThis time last year my ass went to jailYeaaa like this,0
kimitofus,sad,brought to you by youtube autoplayed w1 and im sad againwhat do i need to do to have him wreck me live again its been a whole 2 yearsi miss park jihoon,0
SheilaMcAliste3,sad,Absolutely Well said.How truly sad This is unreal. I feel for every family that lost a love,0
yajairae461,sad,Life hack- u cant b sad if ur asleepomg literally so gorgeous!! HBD!!,1
MangoGoddessss,sad,"My ass would be sitting in jail with a homicide case and Oxygen would pick up my story for a 2hr special for Snapped !At this point in my life I just laugh because its COMEDIC af ! Like it really is, because I could NEVVEERRRR! Ill be in Jail !Sad to say Both of my Parents are Narcissist and Im over here like ..... yall are soooo toxic to each other but wMy BIGGEST Question is !!!! Why do Narcissist have Children? WHY? What is the point behind your weird sick game ? I need answersIm like daammnnn nigga in my English class in Community I had 3 major papers .... thats it! Niggas was on they Bu",1
CraigSDouglas1,sad,Shit mate! Here's me celebrating 3.5mm!Sad aye?Do you really believe everything on the internet?Kaikohe New World Supermarket?Supermarkets scare the hell out of us.Major opportunity for multiple infections.Back at ya Reef!This is both clever and good for a giggle.And she can sing.,0
Shauntrel17,sad,"She just dropped a wayfair collection, at a time where most americans are out of work and ain't making no money. ThHaving 2 full time nannies helps.",0
AfterxSelena,sad,"Idk how tf they even Stan after and the story when they hate Anna, the one who wrotExactly. Its not like other ppl that wrote books on wattpad didnt have an inspira",0
gailsline,sad,"And you forgive our blindness In your redeeming love.The veil of death falls oer you,The light withdraws its rays,Yet angel hosts adore You,And tremble as they gazGOOD FRIDAYThank you Father God for loving us so much that you sacrificed your Son. Our debt is paid; By His",0
Atinuke_87,sad,"Tell your fucking people to stop guessing me and assuming that am making them because I don't want them and am notBecause I don't know who told them by pissing me off or my Air that is how to make in how stupid can they be, theyam not making black people am talking about myself being a person or what type of am not for everybody don't they uand tell your miserable sad down uncalmed useless weak dry unattractive fake ugly powerless more n his people to stIf you don't tell those fools to get lost and go you not going to get calm are they deaf as well as blind or don't",1
thicctu,sad,not that that stopped from my last sad tweet but you knowsaddamn why does this have so many likes anyway does anyone wanna buy me animal crossing?i want the yellow one tho,1
8106S,sad,Girls after putting sad tweet on their timeline.She - I like you Me - aww thank you She - but as a brother Me -Dekha lakin ladki ki aankh itni badi hain ke uspe dhyaan hi nahi jataHuh ?,0
mabulamv,sad,"Sponsor Black schools rugby and SpringboksNo rugby team in Galeshewe , uncalled for . What r u doing for sports development in Northern cape(locations)Remove the selectors not coach",0
Bumpllbee,sad,I AM THO &lt;333YES THANK U!stop silencing black people dallas thats mean.i love my boyfriend the most uwuilu,0
kenna_keets,sad,dont be sad about not having friends... you pushed them all away when a man walked in your lifeone person followed me // automatically checked by,0
wonheonmylife,sad,Don't know how I feel rn. Happy because Wonho is back. Sad because they're not.. 7? I'm so confused about thisHow tfJooheon. JooheonThis should be the only way we communicaye with any armchairsWe can triangle,0
lewisnavin,sad,You too bro!,0
lexisyolo,sad,ice me outttttt,0
BernadetteAcob,sad,aloks,0
mark1478,sad,"Maybe someone would give him genuine praise (rather than the nutter sychophants) if he actually didIt is sad but I dont believe the Kennedy Curse. A canoe on choppy waters apparently to retrieve a ball? NHey, brainless what d'ya say to this. Would love to hear whAnd this, from a ""man"" that squirmed out of service with a faked doctors' letter siting 'bone spurs'. What a comple",0
tripfather,sad,love that a single change in tone and a lack of !! or has me thinking hes mad at me and getting sad knowing damn well hes notok but i still wonhey guess who wonno comment,0
harryscherrys1,sad,forever harry girlharry styles,0
bawagons,sad,"I am also not looking for anything from a halloween store, anything made with crushed velvet, anything with short ohello clothing store/resale/etc websites: when I ask for 'rennaissance style dress'I am never ever looking for anymaybe if i wear my binder under my dress it'll fit a little less snug- im positive its all Boobie causing this issueI'd MAKE myself a replacement dress out of spite but I CANT GO GET FABRIC SJDJDFJHDKJHSKJDHJK",0
jenan5x,sad,I just wanna disappear.Feeling blue.Hi imy,1
hongjoong_fairy,sad,the way.... after watching call me baby i watched history and then decided to stan forever.... my playlist put them,0
mfuyunohanashi,sad,"ajhsja noo, i think the account use that pic to show that the guy is sad because the girl in the quote lea",0
Nochulala,sad,i dont even know her?? who's sheee?,0
vibepog,sad,i love herPERIODT SJHDBDJD,0
dottiedgolf,sad,HE'S HAD LOTS OF PRACTICE AND HAS BECOME VERY GOOD AT IT!,0
anniefryman,sad,"do we think a lingering impact of coronavirus will be that we become more physically touchy (from deprivation) or lmy parents used to sit us down with giant bags of reject scrap beads (like, for bracelets) and glueweahem please carve out an exception for this menschmy favorite SB 35 counseling project was coaching an East Bay developer on exercising their parking waiv",0
Hyaa57748263,sad,When you leave don't come back your not welcome you left remember?,0
hakkeii_,sad,"I'm sad is usual so imma just stay in bed all day tonight no one contact me plz xBitch your 5,4 shut upIts international drag day tall drag her assIts actually really good like. I like it ma-I bought dissidia nt thinking it was alive.. chile Lemme tell you summ. I just wasted a good amount of money for no",1
LoganRockInn,sad,Some bleddy boy !!No idea !!! Its my mates,0
the_zeet,sad,yeah i can get behind thatI kinda get what you're saying but i'm having to read between the hairs of the very broad brush you've used to paint withi'm trying to figure out where the sexist nazi sanders supporters have been over the course of thisoh ok,0
MARUBINE,sad,This is a bad Friday actually.,1
nonkissingcult,sad,yesim tired and sadthe cut that always bleedsPLEASE ADD ME OMGneed you more than anything yeAaAAaA,0
leunajeon,sad,sad bc i dont have army bombLOL!!!!!i love luna (moon) and jeon soSept. 12 !! hello bday twins,0
AshIsLikeSoCool,sad,Im sad that I finished it all in 3 days.KEEP WATCHINGI HATE HIMI would love that! Ive been wanting some so bad.,0
sehamm,sad,"okay anxiety, you can leave my stomach alone nowWhat did drake think he didWhatyes please",0
markneilson111,sad,And a globalist.,0
KISHAAA4,sad,my biggest fear is cooking for my dude an he tell me this shit nastyi love boujee niggas who dont fuck on anythingIm really by myself in this life shit.,1
_f3rdy_,sad,kinda sad my face isnt being used as a seat Rn,1
ItsPinkster,sad,My life is just sad and lonely nothing newYeah havent played in monthsI dont have my setup anymore,1
cortezzz12,sad,SEND SEND SEND SEND SEND,0
Ccity3,sad,Broke the toilet on his head,0
Gerry42682135,sad,It's sad. You can punish your child but not this extent.This is a nightmare president. Trump is crazyThis is best tweet of the month. I like itYhooo this article.... It really embarassed the reporter n his editor. U need more than this to get back your crediHe is one of our hero's. It's quite sad when such ppl sacrificed their lives n some ppl get into position just to l,0
girlyratfish,sad,"OH MY GODSad nodhe doesn't pay'em either, so he should be OK with it.",1
dreamer8534,sad,"Love ourBiden - a seat holder, A voice for Democrats that want to destroy our GREAT country.Sad to see a man that doesn't know he's already beaten. Sad to see a man keep trying to hold on to his identity wh",0
Rahulambapa,sad,Possibly Mr bhandari is not in a mood to work in sensitive area it can be this way alsoNo it's not the excuse this is how a school system works in medicore schools leave apart top 100 schoSir they are asking because staff is asking for their salaries and stationary people are asking for their dues from,0
tsunflowerst,sad,"i can start read my abandoned books, or painting, watching dramas/movies, unboxing my packages, or journaling, or wwhat should i dooooo i'm bored i have so many things to do though but no willingness yetSHE'S GORGEOUS IN ALL ASPECTS. sexy",0
myprincess_ari,sad,"This was an amazing au and Im sad its over and Im really sad that Cruel Summer and this au ended but Im happy tWell then be surprised, I did read themIm so happy for youuuu",1
thekagandahan,sad,"Currently sad. Don't talk to me.Isa 'to sa favorite kong kanta na sinasayaw ng character ko doon. Hahaha!Haha! So I was cleaning my fb photos and I found some of my iDate Game Screenshots, and badly miss that online game",1
tealeforeal,sad,"just cant get into them. I feel like since I found out that they were bred and bred and bred to haveLol sorry hun theyre ug.Thats why I dont care for their look. Dont like the smooshed face look. I also know how hard it isThis is just my opinion, dont hate me, but I think pugs and (most) bulldogs are the most hideous looking animals out there.Need to actually get ready tomorrow to see if I can still like human.",0
PoliJulissa,sad,"Do not be afraid of your desires! Fear mine!Slay my wet puss it's the only way I learn !!Doctors in the house, what drugs can someone take when he starts seeing symptoms of falling in love?I want you to handcuff me and fuck me properly.Scold me and spank, I was a very bad girl",0
fydaniellee,sad,"Its sad how we tend to succumb in desperation just to get other peoples recognition.In the end, love is a good reason for everything to fall apart.I ",0
tatsunhisa,sad,"NOOOOOOOO!!! WHY YOU DO THIS TO ME?!!This is so sad... i don't want thisSeriously, i didn't eect that this movie would end like this.. He injured himself for that and im",1
TheHammmerTime_,sad,"Did &amp; many others ( , , , , , ... .It looks like that Court Case has been AMENDED!!! Have Additional Name",0
404errorsgalore,sad,This state is so progressive that theres been nary a peep about Reynolds suspending abortions citinClearly no separation. This state is a Republican dream.,0
STEELMEN8,sad,I love the fact that you can have the power to motivate others to bring out the best of themselves and be successful down the road!,0
Sacha61307544,sad,Amen,0
sup3rvillainpjs,sad,"Also pretty sad that youre coming back to this now that everyone else has stopped replying.You sure do say weak lil bitch a lot. Come to think of it, commie as well.Tbh Bioshock 2 is fun but like, it doesnt have the same charm 1 did.Gee, what a brilliant idea. I wonder why it took so long for someone to come up with that. Youd think",0
babygirlina_,sad,Im sad i want kisses.Joke on you i dont have a boyfriend,1
YCelesteXoXo,sad,Sad that I just finished the last episode of money heist.... so Im going to rewatch it again lol 10/10 recommended,0
DignifiedPoet,sad,Relatable Drop a &amp;follow for more Relatable tales and Poems......Do share as much as you canRelatable Drop a &amp;follow for more Relatable tales and Poems......Do share as much as you canRelatable Drop a &amp;follow for more Relatable tales and Poems......Do share as much as you canRelatable Drop a &amp;follow for more Relatable tales and Poems......Do share as much as you canRelatable Drop a &amp;follow for more Relatable tales and Poems......Do share as much as you can,0
solarpsycho,sad,this quarantine is making everyone feel sad so remember to give each other lovelooks like hes having a hard time so lets send him some loveGASP,0
show_sharp,sad,"Says the inhuman""Surgeon general warns this will be Pearl Harbor moment""Sorry, this is absolutely our ""Pearl Harbor"" moment.S",0
DarreySmuse,sad,"Juliet Ibrahim is an idiot. Our celebrities now shame us with every opportunity they got. It's so sad to see such dWow, so people are actually dropping their house address and phone numbers? TragicYou mean thisNaso oo",1
MOONDUSTLAWLEY,sad,ofcccme trynna get a picture but my muslim ass cant swimcan i maybe get this for free?,0
Yonexman2,sad,"I bought plants from our local nursery who cant sell to wholesalers.If as they say there is no shortage of PPE, then there are warehouses full of it so maybe the question s",0
ShinikageReaper,sad,"Biden isn't my favorite, but I'd much rather vote for Meh than HOLY FUCKING SHIT THIS ORANGE ASSHOLE IS DERANGED!",0
kuira_disease,sad,i really went 17 years without any eyebrows. fucking sadfitting1. why are they smiling?2. why at the christmas party?3. that poor child,1
bigdaddykiya_,sad,Im so fr when i say Im acting an ass when this is over. Tequila shots EVERYWHEREI did.......she just rolled over.......,0
starlitup,sad,A lot of women are insecure about this too........ It's sad. We're supposed to be better than this.Awwwee Thaaaaaankksss,1
jessccuh,sad,Im sad bc i wanna buy stuff from Shien lmaoooo.,1
joshuaet2019,sad,"im rlly sad abt it, but it was some bomb ass toastit was in the middle of making my toast that i thought, damn, i should have waited an hour to make my toast becausewhy does asher angel have the same $12 forever 21 shirt i have. like arent u rich bro? and yeah it looks better onthe worst part of coronavirus is that it fucks with the rwrb timeline.i wanna ruin a marriage, but corona might do that for me",0
zipporahheins,sad,Im sad to say goodbye to my roommate tomorrow.,1
omo_agunlofi,sad,"Do you fear God? You are the worst self. You assembled etic Cars with the money meaRoman ReignsKa ma rii ni Paul wi.....Sometimes, you feel like helping people on Social Media but your previous eerience wouldn't allow you. I once did",0
andfriend3,sad,Bless yall. This is peak civic participation,0
prem_spaceu,sad,OFFGUN BREATHED EVERYONEEEEITS PAPI OH MY GOOOOOSHSUFFER W MEEMO HRS,0
_inaboxbeauty,sad,So sad craving zuki,1
sophiaalvrez,sad,NEED TO FIND HIS TWITTERJSSHMFS WITH GLASSES MAKE MEhes so cute im sad his nose and his bracesthats just so great bby!!! ik the universe will pay u back &lt;3jkkkkk never been kissed lol,0
DanitaBlackwood,sad,"New AI tools help writers be more clear, concise and inclusive in Office and across the webFears that may motivate by",0
jerelynrom,sad,Im so sad for owen. I officially hate Teddy.lmfao broooooooHere I am crying like a bitch rip to my fave characterBro. I cant rn. Andy lost her best friend and dad like I cantjust broke my heart.,1
Rajesh85429547,sad,NiceBilkul mem,0
sweeet_mari,sad,Im still sad about my shoesIm so sad because of my shoes :/,1
TumeloNtshabel3,sad,"Anxiety, anxiety anxietyKe hip happ Doggie dawgo",0
Merryb2184,sad,"so thus the wrong sister died? you have to see hBut....why? what in the world has she ""done"" to you?ok see I just saw this...Dude....wow",0
cashrooms,sad,my dick is pretty af thanks to coco butter. period. and the moisture is way better than lotion. ion caretops:yall like yall bottom eating yall bootyyou not beating yall meats with coco butter and or vaseline?lol sad. i know yall dicks are ugly.you might as well send some too,0
knwbetterpt2,sad,what about itno need to get snappy hun. just thought it was funnymy sister &amp; i were having a sleepover in her room &amp; she kicked me outim runnin out of timeTHE WAY THEYRE REPLYING-,0
kooflwrs,sad,You're rightI'm so sad my throat hurts so muchYES PLSWTF IS THIS DJDJDJDN,1
DrStevenMFoster,sad,So much sadness and anxiety at the moment. Sadly we are all going to be touched by this dreadful indiscriminate disYep. Topped off a marvellous weekCongrats Karl. If you need a accomplished researcher let me knowI knew it was a bad idea to check my email,1
Mata1974,sad,LmaoNope,0
get_rowdy,sad,Carb pornFucked around and braided some sourdough with some rosemary on top.1:07pm: left the house for the first time in a week(?) to take the sausage to the vet for her follow up12:04pm: so proud I took made a before &amp; after is there a Dutch oven emoji,0
SpliffyBendrix,sad,Those runs look so fun omg!Watching revenge of the sith wishing my homies were hereSub4sub uwu,0
KonoonL,sad,So sad there is no medicine can cure stupid.why you drink peeNYT you are really not helping here.,1
camila_oyu,sad,Drunk on a Thursday.... feeling like the old meMy sleeping schedule is trash,0
yadreamin278,sad,Have u met him? I've seen Paparoa lie and smear this guy for a coAND THEY TAX THE $585!!! The insufferable bastards!!,0
NtateMoerane,sad,Makhosi,0
IsabelStierwald,sad,You are SEXY Im in love with youI will forever have a crush on Zac Efron in Charlie St Cloud and nothing can change that,0
breaguilar025,sad,How sad is to find everything you want in a person you can't be with.Truth is that I want thisCause I always see you in my sleep?,1
citazworld,sad,ITS HONESTY HOUR NATALIAI drank too much. Again. It dont serve its purpose no more. Used to be able to sleep. Now it just makes me more sad.LMAOOOOOO,1
Gary_Cookson,sad,Todays post is from who shares her rising anxiety over a several month period.1) My daily exercise2) Wine3) Running the seriesNot necessarily in that order.,0
mcneilfarms,sad,did spit on the ICE Agents ???,0
angstexit,sad,I can still open it back up and the DMs r still there unless were not friendsYou know iamIsnt it just thi g? HUHYEAH but then I get sad and open it back up to look at the old messages and then get sad again.,0
134340bun,sad,Im both so horribly sad but glad that they have each otherWait....it hurts.....,1
Shaydlessme,sad,This shit is sad af guess its time for a swift changeWhat the fuck..,1
sprinkled,sad,i love uuuuim a broke bitch im sadcan i seethank uuu,0
marinedhg,sad,They way Andrew kept looking and smiling at Mer in that OR I-,0
Edmundorv1,sad,Thanks Tyler you are a real Patriot,0
QuinTheSim,sad,"We've been doing this for about a month, I advise next week you go and ask them what the quietestIm at the point where she is dating Jess right now and don't get me wrong I loooooove Jess and Rory",0
alomranVi,sad,"i broke my rules for you isn't that enough?Sorry babe, its not about you anymoreText me when you miss me Not when you are boredIf I delete your number you a special type of dead to me",0
fJ8W60m9EYQc85F,sad,"Arsenal handed boost in bid to beat Man Utd to Corentin Tolisso transfer.Who do you think will be the signing of the summer?Bayern Munich and Borussia Dortmund back in training with Bundesliga to resume NEXT MONTH but no fans in stadiumsSadio may have to leave Liverpool to realise his dream of winning the Ballon d'Or': Former Senegal international DiHe was worried about his parents, it's really sad': Mikel Arteta sends compassionate message to Pep Guardiola after",0
basmalayasserr,sad,habda2oo walahyy,0
A_Condiano12,sad,"Youre helpless. You have no candidate, no direction in your party. Its over. The new outlets toldWill trump use fauci to get inside gates thought process?",0
MikeMoseWrites,sad,"I always feel ridiculous singing in the car, because I like to do dirty vocals and the low yells always make me look like a sad clownCuteHey dont remember why I took this but Im p sure I was stoned afLegit one of my favsSo sleepy",0
oliver_tsuna,sad,"Now I'm scared coz RN I think I am, I'm so fucked upHayssssss sobrang lungkot talagaMight sleep this day away",1
OrtegaDannielle,sad,sadsameeeeeesummer pleaseeeeeeee,1
dosutoevsuki,sad,its sad boy hours againwhy solve crime when you can just buy it or kill it,1
